interval i_sentout i_started i_relayed i_dropped i_removed i_delivered i_overhead d_sentout d_started d_relayed d_dropped d_removed d_delivered d_overhead latency_avg hopcount_avg satisfaction_rate
1 119 125 125 40 66 28 0.7760 36 92 92 0 0 37 0.5978 1322.0919 1.0462 0.3109
2 199 233 233 50 192 79 0.6609 124 382 382 0 0 107 0.7199 2371.1037 1.2312 0.4528
3 234 298 298 51 343 145 0.5134 166 780 779 0 0 173 0.7779 3403.4977 1.4591 0.5743
4 233 309 309 64 382 162 0.4757 164 796 797 0 0 197 0.7528 3928.2741 1.5181 0.6548
5 250 389 389 64 509 257 0.3393 178 744 744 0 0 244 0.6720 4607.0836 1.4591 0.7324
6 233 439 439 68 516 302 0.3121 115 671 671 0 0 199 0.7034 5195.2332 1.4212 0.7547
7 231 503 503 58 643 389 0.2266 119 744 744 0 0 232 0.6882 5946.9746 1.4541 0.7932
8 242 658 658 70 776 526 0.2006 98 746 746 4637 0 230 0.6917 5072.4509 1.4008 0.8150
9 269 519 519 73 604 286 0.4489 295 1062 1062 665 0 295 0.7222 5857.8027 1.6936 0.8527
10 242 483 483 58 586 311 0.3561 140 864 864 284 0 251 0.7095 4882.0992 1.6993 0.8726
11 256 562 562 67 713 391 0.3043 119 800 800 295 0 286 0.6425 6093.2143 1.5938 0.8975
12 243 592 592 69 679 426 0.2804 74 609 609 277 0 241 0.6043 5383.3382 1.6027 0.9059
13 239 681 681 65 755 517 0.2408 57 576 576 287 0 221 0.6163 3737.2317 1.5312 0.9074
14 223 684 684 65 725 529 0.2266 47 515 515 237 0 182 0.6466 2679.2901 1.4880 0.9010
15 232 810 810 58 916 675 0.1667 58 666 666 292 0 221 0.6682 3453.1747 1.4777 0.9045
16 249 881 881 73 954 730 0.1714 68 574 574 5069 0 210 0.6341 3395.8186 1.4085 0.9004
17 266 683 683 69 801 473 0.3075 298 1069 1069 600 0 303 0.7166 5084.5254 1.6817 0.9164
18 235 641 641 67 697 448 0.3011 92 792 792 460 0 223 0.7184 4293.1489 1.6408 0.9182
19 225 699 699 56 777 536 0.2332 80 664 664 451 0 219 0.6702 3596.5169 1.5603 0.9210
20 252 857 857 65 934 679 0.2077 53 587 587 485 0 232 0.6048 2744.4703 1.5170 0.9210
21 252 894 894 67 922 695 0.2226 69 580 580 450 0 199 0.6569 2911.7271 1.4743 0.9143
22 228 922 922 62 965 739 0.1985 33 573 573 386 0 195 0.6597 3700.2590 1.4272 0.9117
23 235 917 916 62 969 728 0.2052 43 547 547 422 0 207 0.6216 3148.9140 1.4770 0.9103
24 223 958 958 58 1007 791 0.1743 37 478 478 4533 0 184 0.6151 2228.1984 1.4390 0.9070
