interval i_sentout i_started i_relayed i_dropped i_removed i_delivered i_overhead d_sentout d_started d_relayed d_dropped d_removed d_delivered d_overhead latency_avg hopcount_avg satisfaction_rate
1 98 101 101 23 70 33 0.6733 39 78 78 0 0 37 0.5256 1322.1324 1.0429 0.3776
2 185 207 207 45 199 87 0.5797 106 232 232 0 0 107 0.5388 2326.1738 1.2113 0.5088
3 227 281 281 62 319 138 0.5089 157 533 533 0 0 169 0.6829 3485.5195 1.3485 0.6137
4 220 273 273 57 364 153 0.4396 169 579 579 0 0 188 0.6753 4116.2319 1.4428 0.6863
5 266 369 369 66 532 255 0.3089 189 638 638 0 0 262 0.5893 4828.2729 1.4449 0.7661
6 217 409 409 70 538 306 0.2518 138 679 679 0 0 211 0.6892 5214.3929 1.4449 0.8030
7 247 451 451 59 611 355 0.2129 119 690 690 0 0 240 0.6522 6103.8179 1.4622 0.8315
8 247 521 521 62 690 434 0.1670 113 717 717 3974 0 239 0.6667 4967.7326 1.4205 0.8512
9 265 491 491 62 588 292 0.4053 272 702 702 523 0 284 0.5954 5596.5250 1.6094 0.8808
10 239 406 406 48 519 270 0.3350 165 670 670 302 0 230 0.6567 4438.2509 1.6900 0.8896
11 266 481 481 59 651 335 0.3035 148 701 701 304 0 289 0.5877 5460.3557 1.6827 0.9108
12 245 482 482 47 621 361 0.2510 104 573 573 281 0 250 0.5637 5394.1432 1.6530 0.9206
13 248 538 538 50 673 422 0.2156 83 541 541 281 0 238 0.5601 3386.3542 1.5742 0.9239
14 219 533 533 53 632 420 0.2120 58 478 478 264 0 198 0.5858 3256.8136 1.5874 0.9225
15 252 627 627 51 756 506 0.1930 72 647 647 310 0 237 0.6337 2999.2485 1.6070 0.9239
16 252 697 697 52 819 578 0.1707 68 598 598 4240 0 229 0.6171 2905.5328 1.5551 0.9228
17 249 577 577 59 649 404 0.2998 256 683 683 509 0 237 0.6530 3329.9658 1.6115 0.9247
18 241 541 541 56 633 393 0.2736 102 566 566 474 0 225 0.6025 3739.5947 1.6974 0.9252
19 226 554 554 50 640 406 0.2671 84 517 517 478 0 218 0.5783 2867.5275 1.6907 0.9272
20 257 653 653 60 759 502 0.2312 78 568 568 508 0 241 0.5757 2838.8349 1.6514 0.9278
21 250 704 704 66 793 551 0.2173 87 509 509 486 0 218 0.5717 3337.3248 1.5852 0.9249
22 241 727 727 51 803 569 0.2173 58 528 528 428 0 208 0.6061 2462.4740 1.5779 0.9220
23 229 705 704 63 783 543 0.2287 45 479 479 460 0 221 0.5386 2719.1480 1.6165 0.9239
24 219 752 752 42 832 639 0.1503 34 418 418 3459 0 177 0.5766 2148.4079 1.4534 0.9194
